,US_County_FIPS,_class,n_species,n_red
0,01001,ACTINOPTERYGII,119,9
1,01001,AMPHIBIA,39,0
2,01001,AVES,111,2
3,01001,BIVALVIA,22,2
4,01001,CEPHALASPIDOMORPHI,3,0
5,01001,GASTROPODA,20,0
6,01001,INSECTA,3,1
7,01001,LILIOPSIDA,4,0
8,01001,MAGNOLIOPSIDA,3,0
9,01001,MALACOSTRACA,26,0
10,01001,MAMMALIA,5,0
11,01001,REPTILIA,12,0
12,01003,ACTINOPTERYGII,178,9
13,01003,AMPHIBIA,47,1
14,01003,AVES,142,2
15,01003,BIVALVIA,24,3
16,01003,CEPHALASPIDOMORPHI,2,0
17,01003,CHONDRICHTHYES,2,1
18,01003,GASTROPODA,28,1
19,01003,INSECTA,3,1
20,01003,LILIOPSIDA,5,0
21,01003,MAGNOLIOPSIDA,4,0
22,01003,MALACOSTRACA,54,1
23,01003,MAMMALIA,6,1
24,01003,REPTILIA,17,1
25,01005,ACTINOPTERYGII,92,3
26,01005,AMPHIBIA,41,1
27,01005,AVES,109,2
28,01005,BIVALVIA,20,2
29,01005,CEPHALASPIDOMORPHI,1,0
30,01005,GASTROPODA,19,0
31,01005,INSECTA,2,1
32,01005,LILIOPSIDA,4,0
33,01005,MAGNOLIOPSIDA,3,0
34,01005,MALACOSTRACA,28,0
35,01005,MAMMALIA,5,0
36,01005,REPTILIA,12,0
37,01007,ACTINOPTERYGII,128,14
38,01007,AMPHIBIA,44,1
39,01007,AVES,111,2
40,01007,BIVALVIA,27,3
41,01007,CEPHALASPIDOMORPHI,3,0
42,01007,GASTROPODA,21,2
43,01007,INSECTA,2,1
44,01007,LILIOPSIDA,4,0
45,01007,MAGNOLIOPSIDA,2,0
46,01007,MALACOSTRACA,36,3
47,01007,MAMMALIA,5,0
48,01007,REPTILIA,12,0
49,01009,ACTINOPTERYGII,134,17
50,01009,AMPHIBIA,40,2
51,01009,AVES,109,2
52,01009,BIVALVIA,52,12
53,01009,CEPHALASPIDOMORPHI,3,0
54,01009,GASTROPODA,21,1
55,01009,INSECTA,3,1
56,01009,LILIOPSIDA,4,0
57,01009,MAGNOLIOPSIDA,2,0
58,01009,MALACOSTRACA,55,5
59,01009,MAMMALIA,5,0
60,01009,REPTILIA,6,0
61,01011,ACTINOPTERYGII,150,7
62,01011,AMPHIBIA,41,1
63,01011,AVES,109,2
64,01011,BIVALVIA,30,4
65,01011,CEPHALASPIDOMORPHI,3,0
66,01011,GASTROPODA,20,0
67,01011,INSECTA,4,1
68,01011,LILIOPSIDA,4,0
69,01011,MAGNOLIOPSIDA,3,0
70,01011,MALACOSTRACA,41,1
71,01011,MAMMALIA,5,0
72,01011,REPTILIA,12,0
73,01013,ACTINOPTERYGII,125,8
74,01013,AMPHIBIA,42,0
75,01013,AVES,111,2
76,01013,BIVALVIA,27,3
77,01013,CEPHALASPIDOMORPHI,3,0
78,01013,GASTROPODA,16,0
79,01013,INSECTA,2,1
80,01013,LILIOPSIDA,4,0
81,01013,MAGNOLIOPSIDA,3,0
82,01013,MALACOSTRACA,39,1
83,01013,MAMMALIA,5,0
84,01013,REPTILIA,12,0
85,01015,ACTINOPTERYGII,82,7
86,01015,AMPHIBIA,36,0
87,01015,AVES,108,3
88,01015,BIVALVIA,22,1
89,01015,CEPHALASPIDOMORPHI,3,0
