,US_County_FIPS,_class,n_species,n_red
0,01001,ACTINOPTERYGII,4,2
1,01001,AVES,53,1
2,01001,GASTROPODA,1,0
3,01001,MAMMALIA,1,0
4,01003,ACTINOPTERYGII,164,11
5,01003,ANTHOZOA,3,1
6,01003,AVES,81,1
7,01003,CHONDRICHTHYES,64,39
8,01003,GASTROPODA,17,0
9,01003,LILIOPSIDA,5,0
10,01003,MAGNOLIOPSIDA,1,0
11,01003,MALACOSTRACA,9,0
12,01003,MAMMALIA,28,5
13,01003,REPTILIA,7,6
14,01005,ACTINOPTERYGII,7,2
15,01005,AVES,52,1
16,01005,GASTROPODA,1,0
17,01005,MAMMALIA,1,0
18,01007,ACTINOPTERYGII,5,2
19,01007,AVES,52,1
20,01007,GASTROPODA,1,0
21,01007,MAMMALIA,1,0
22,01009,ACTINOPTERYGII,3,1
23,01009,AVES,50,1
24,01009,GASTROPODA,1,0
25,01009,MAMMALIA,1,0
26,01011,ACTINOPTERYGII,7,2
27,01011,AVES,52,1
28,01011,GASTROPODA,1,0
29,01011,MAMMALIA,1,0
30,01013,ACTINOPTERYGII,6,2
31,01013,AVES,53,1
32,01013,GASTROPODA,1,0
33,01013,MAMMALIA,1,0
34,01015,ACTINOPTERYGII,4,1
35,01015,AVES,50,2
36,01015,GASTROPODA,1,0
37,01015,MAMMALIA,1,0
38,01017,ACTINOPTERYGII,5,1
39,01017,AVES,51,1
40,01017,GASTROPODA,1,0
41,01017,MAMMALIA,1,0
42,01019,ACTINOPTERYGII,2,0
43,01019,AVES,49,2
44,01019,GASTROPODA,1,0
45,01019,MAMMALIA,1,0
46,01021,ACTINOPTERYGII,4,2
47,01021,AVES,51,1
48,01021,GASTROPODA,1,0
49,01021,MAMMALIA,1,0
50,01023,ACTINOPTERYGII,7,2
51,01023,AVES,53,1
52,01023,GASTROPODA,1,0
53,01023,MAMMALIA,1,0
54,01025,ACTINOPTERYGII,11,2
55,01025,AVES,58,1
56,01025,GASTROPODA,1,0
57,01025,MAMMALIA,1,0
58,01025,REPTILIA,1,1
59,01027,ACTINOPTERYGII,5,2
60,01027,AVES,50,1
61,01027,GASTROPODA,1,0
62,01027,MAMMALIA,1,0
63,01029,ACTINOPTERYGII,3,1
64,01029,AVES,49,2
65,01029,GASTROPODA,1,0
66,01029,MAMMALIA,1,0
67,01031,ACTINOPTERYGII,11,2
68,01031,AVES,56,1
69,01031,GASTROPODA,1,0
70,01031,MAMMALIA,1,0
71,01033,ACTINOPTERYGII,3,1
72,01033,AVES,53,1
73,01033,GASTROPODA,1,0
74,01033,MAMMALIA,1,0
75,01035,ACTINOPTERYGII,14,2
76,01035,AVES,55,1
77,01035,GASTROPODA,1,0
78,01035,MAMMALIA,1,0
79,01037,ACTINOPTERYGII,4,2
80,01037,AVES,51,1
81,01037,GASTROPODA,1,0
