,US_County_FIPS,_class,n_species,n_red
0,01001,AMPHIBIA,40,0
1,01001,AVES,110,2
2,01001,INSECTA,2,1
3,01001,LILIOPSIDA,13,1
4,01001,MAGNOLIOPSIDA,41,3
5,01001,MAMMALIA,53,4
6,01001,REPTILIA,39,1
7,01003,AMPHIBIA,48,1
8,01003,AVES,141,2
9,01003,INSECTA,2,1
10,01003,LILIOPSIDA,8,0
11,01003,MAGNOLIOPSIDA,35,1
12,01003,MAMMALIA,48,4
13,01003,REPTILIA,50,7
14,01005,AMPHIBIA,40,1
15,01005,AVES,108,2
16,01005,INSECTA,2,1
17,01005,LILIOPSIDA,10,1
18,01005,MAGNOLIOPSIDA,36,2
19,01005,MAMMALIA,53,4
20,01005,REPTILIA,39,1
21,01007,AMPHIBIA,46,1
22,01007,AVES,110,2
23,01007,INSECTA,2,1
24,01007,LILIOPSIDA,11,1
25,01007,MAGNOLIOPSIDA,40,3
26,01007,MAMMALIA,51,4
27,01007,REPTILIA,38,1
28,01009,AMPHIBIA,40,0
29,01009,AVES,108,2
30,01009,INSECTA,3,1
31,01009,LILIOPSIDA,15,1
32,01009,MAGNOLIOPSIDA,39,3
33,01009,MAMMALIA,53,5
34,01009,REPTILIA,31,0
35,01011,AMPHIBIA,41,1
36,01011,AVES,108,2
37,01011,INSECTA,2,1
38,01011,LILIOPSIDA,10,1
39,01011,MAGNOLIOPSIDA,37,3
40,01011,MAMMALIA,53,4
41,01011,REPTILIA,37,0
42,01013,AMPHIBIA,42,1
43,01013,AVES,110,2
44,01013,INSECTA,2,1
45,01013,LILIOPSIDA,9,0
46,01013,MAGNOLIOPSIDA,37,2
47,01013,MAMMALIA,52,4
48,01013,REPTILIA,36,0
49,01015,AMPHIBIA,40,0
50,01015,AVES,107,3
51,01015,INSECTA,2,1
52,01015,LILIOPSIDA,11,1
53,01015,MAGNOLIOPSIDA,35,2
54,01015,MAMMALIA,52,4
55,01015,REPTILIA,34,1
56,01017,AMPHIBIA,40,0
57,01017,AVES,108,2
58,01017,INSECTA,2,1
59,01017,LILIOPSIDA,12,0
60,01017,MAGNOLIOPSIDA,38,1
61,01017,MAMMALIA,52,4
62,01017,REPTILIA,36,0
63,01019,AMPHIBIA,39,0
64,01019,AVES,107,3
65,01019,INSECTA,2,1
66,01019,LILIOPSIDA,12,0
67,01019,MAGNOLIOPSIDA,34,3
68,01019,MAMMALIA,54,5
69,01019,REPTILIA,31,0
70,01021,AMPHIBIA,45,1
71,01021,AVES,109,2
72,01021,INSECTA,2,1
73,01021,LILIOPSIDA,13,1
74,01021,MAGNOLIOPSIDA,42,3
75,01021,MAMMALIA,53,4
76,01021,REPTILIA,39,1
77,01023,AMPHIBIA,39,0
78,01023,AVES,111,2
79,01023,INSECTA,2,1
80,01023,LILIOPSIDA,9,0
81,01023,MAGNOLIOPSIDA,40,2
82,01023,MAMMALIA,49,4
83,01023,REPTILIA,40,1
84,01025,AMPHIBIA,42,0
85,01025,AVES,118,2
86,01025,INSECTA,2,1
87,01025,LILIOPSIDA,12,1
88,01025,MAGNOLIOPSIDA,37,1
89,01025,MAMMALIA,50,4
90,01025,REPTILIA,43,2
91,01027,AMPHIBIA,41,0
92,01027,AVES,108,2
93,01027,INSECTA,2,1
94,01027,LILIOPSIDA,11,1
95,01027,MAGNOLIOPSIDA,38,2
96,01027,MAMMALIA,51,4
97,01027,REPTILIA,35,1
98,01029,AMPHIBIA,37,0
99,01029,AVES,106,3
100,01029,INSECTA,2,1
101,01029,LILIOPSIDA,9,1
102,01029,MAGNOLIOPSIDA,36,2
103,01029,MAMMALIA,52,4
104,01029,REPTILIA,34,1
105,01031,AMPHIBIA,45,2
106,01031,AVES,114,2
107,01031,INSECTA,2,1
108,01031,LILIOPSIDA,9,0
109,01031,MAGNOLIOPSIDA,34,2
110,01031,MAMMALIA,50,4
111,01031,REPTILIA,39,1
112,01033,AMPHIBIA,39,1
113,01033,AVES,112,2
114,01033,INSECTA,3,1
115,01033,LILIOPSIDA,9,0
116,01033,MAGNOLIOPSIDA,35,3
117,01033,MAMMALIA,53,5
118,01033,POLYPODIOPSIDA,1,0
119,01033,REPTILIA,32,0
120,01035,AMPHIBIA,45,2
121,01035,AVES,114,2
122,01035,INSECTA,2,1
123,01035,LILIOPSIDA,9,0
124,01035,MAGNOLIOPSIDA,34,1
125,01035,MAMMALIA,50,4
126,01035,REPTILIA,42,1
127,01037,AMPHIBIA,44,1
128,01037,AVES,108,2
129,01037,INSECTA,2,1
130,01037,LILIOPSIDA,14,1
131,01037,MAGNOLIOPSIDA,39,3
132,01037,MAMMALIA,53,4
133,01037,REPTILIA,37,1
134,01039,AMPHIBIA,50,3
135,01039,AVES,121,2
136,01039,INSECTA,2,1
137,01039,LILIOPSIDA,9,0
138,01039,MAGNOLIOPSIDA,34,1
139,01039,MAMMALIA,49,4
140,01039,REPTILIA,40,1
141,01041,AMPHIBIA,45,2
142,01041,AVES,111,2
143,01041,INSECTA,2,1
144,01041,LILIOPSIDA,9,1
145,01041,MAGNOLIOPSIDA,37,2
146,01041,MAMMALIA,53,4
147,01041,REPTILIA,38,0
148,01043,AMPHIBIA,35,0
149,01043,AVES,109,2
150,01043,INSECTA,3,1
151,01043,LILIOPSIDA,14,1
152,01043,MAGNOLIOPSIDA,40,3
153,01043,MAMMALIA,52,5
154,01043,REPTILIA,30,0
155,01045,AMPHIBIA,42,2
156,01045,AVES,113,2
